Community,hour,avg_per_hour
AL TWAR SECOND,9,0.042105263157894736
AL TWAR SECOND,10,0.031578947368421054
AL TWAR SECOND,11,0.08421052631578947
AL TWAR SECOND,12,0.021052631578947368
AL TWAR SECOND,13,0.08421052631578947
AL TWAR SECOND,14,0.12631578947368421
AL TWAR SECOND,15,0.08421052631578947
AL TWAR SECOND,16,0.09473684210526316
AL TWAR SECOND,17,0.10526315789473684
AL TWAR SECOND,18,0.07368421052631578
AL TWAR SECOND,19,0.12631578947368421
AL TWAR SECOND,20,0.09473684210526316
AL TWAR SECOND,21,0.042105263157894736
AL TWAR SECOND,22,0.031578947368421054
AL TWAR SECOND,23,0.021052631578947368
AL TWAR THIRD,0,0.07518796992481203
AL TWAR THIRD,1,0.03007518796992481
AL TWAR THIRD,2,0.015037593984962405
AL TWAR THIRD,3,0.007518796992481203
AL TWAR THIRD,4,0.045112781954887216
AL TWAR THIRD,5,0.05263157894736842
AL TWAR THIRD,6,0.06766917293233082
AL TWAR THIRD,7,0.06766917293233082
AL TWAR THIRD,8,0.06015037593984962
AL TWAR THIRD,9,0.07518796992481203
AL TWAR THIRD,10,0.09022556390977443
AL TWAR THIRD,11,0.07518796992481203
AL TWAR THIRD,12,0.07518796992481203
AL TWAR THIRD,13,0.09022556390977443
AL TWAR THIRD,14,0.13533834586466165
AL TWAR THIRD,15,0.13533834586466165
AL TWAR THIRD,16,0.09022556390977443
AL TWAR THIRD,17,0.11278195488721804
AL TWAR THIRD,18,0.05263157894736842
AL TWAR THIRD,19,0.10526315789473684
AL TWAR THIRD,20,0.09022556390977443
AL TWAR THIRD,21,0.05263157894736842
AL TWAR THIRD,22,0.12781954887218044
AL TWAR THIRD,23,0.045112781954887216
AL WARQA'A FIFTH,0,0.02
AL WARQA'A FIFTH,2,0.04
AL WARQA'A FIFTH,4,0.02
AL WARQA'A FIFTH,6,0.02
AL WARQA'A FIFTH,7,0.04
AL WARQA'A FIFTH,8,0.04
AL WARQA'A FIFTH,9,0.14
AL WARQA'A FIFTH,10,0.02
AL WARQA'A FIFTH,11,0.04
AL WARQA'A FIFTH,12,0.06
AL WARQA'A FIFTH,13,0.04
AL WARQA'A FIFTH,14,0.08
AL WARQA'A FIFTH,15,0.06
AL WARQA'A FIFTH,16,0.12
AL WARQA'A FIFTH,17,0.08
AL WARQA'A FIFTH,18,0.04
