Community,week_index,week_start,Accident_Count
AL GARHOUD,24,2024-08-14,24
AL GARHOUD,25,2024-08-21,27
AL GARHOUD,26,2024-08-28,41
AL GARHOUD,27,2024-09-04,9
AL GARHOUD,28,2024-09-11,17
AL GARHOUD,29,2024-09-18,19
AL GARHOUD,30,2024-09-25,3
AL HAMRIYA,1,2024-03-06,3
AL HAMRIYA,2,2024-03-13,3
AL HAMRIYA,3,2024-03-20,5
AL HAMRIYA,4,2024-03-27,3
AL HAMRIYA,5,2024-04-03,2
AL HAMRIYA,6,2024-04-10,4
AL HAMRIYA,7,2024-04-17,0
AL HAMRIYA,8,2024-04-24,0
AL HAMRIYA,9,2024-05-01,0
AL HAMRIYA,10,2024-05-08,0
AL HAMRIYA,11,2024-05-15,0
AL HAMRIYA,12,2024-05-22,0
AL HAMRIYA,13,2024-05-29,0
AL HAMRIYA,14,2024-06-05,0
AL HAMRIYA,15,2024-06-12,4
AL HAMRIYA,16,2024-06-19,2
AL HAMRIYA,17,2024-06-26,7
AL HAMRIYA,18,2024-07-03,3
AL HAMRIYA,19,2024-07-10,1
AL HAMRIYA,20,2024-07-17,4
AL HAMRIYA,21,2024-07-24,2
AL HAMRIYA,22,2024-07-31,5
AL HAMRIYA,23,2024-08-07,2
AL HAMRIYA,24,2024-08-14,6
AL HAMRIYA,25,2024-08-21,2
AL HAMRIYA,26,2024-08-28,9
AL HAMRIYA,27,2024-09-04,1
AL HAMRIYA,28,2024-09-11,3
AL HAMRIYA,29,2024-09-18,5
AL HAMRIYA,30,2024-09-25,1
AL HAMRIYA PORT,1,2024-03-06,4
AL HAMRIYA PORT,2,2024-03-13,5
AL HAMRIYA PORT,3,2024-03-20,2
AL HAMRIYA PORT,4,2024-03-27,1
AL HAMRIYA PORT,5,2024-04-03,2
AL HAMRIYA PORT,6,2024-04-10,1
AL HAMRIYA PORT,7,2024-04-17,0
AL HAMRIYA PORT,8,2024-04-24,0
AL HAMRIYA PORT,9,2024-05-01,0
AL HAMRIYA PORT,10,2024-05-08,0
AL HAMRIYA PORT,11,2024-05-15,0
AL HAMRIYA PORT,12,2024-05-22,0
AL HAMRIYA PORT,13,2024-05-29,0
AL HAMRIYA PORT,14,2024-06-05,0
AL HAMRIYA PORT,15,2024-06-12,1
AL HAMRIYA PORT,16,2024-06-19,3
AL HAMRIYA PORT,17,2024-06-26,1
AL HAMRIYA PORT,18,2024-07-03,1
AL HAMRIYA PORT,19,2024-07-10,2
AL HAMRIYA PORT,20,2024-07-17,5
AL HAMRIYA PORT,21,2024-07-24,1
AL HAMRIYA PORT,22,2024-07-31,1
AL HAMRIYA PORT,23,2024-08-07,2
AL HAMRIYA PORT,24,2024-08-14,1
AL HAMRIYA PORT,25,2024-08-21,2
AL HAMRIYA PORT,26,2024-08-28,3
AL HAMRIYA PORT,27,2024-09-04,0
AL HAMRIYA PORT,28,2024-09-11,2
AL HAMRIYA PORT,29,2024-09-18,1
AL HAMRIYA PORT,30,2024-09-25,1
AL HEBIAH FIFTH,1,2024-03-06,5
AL HEBIAH FIFTH,2,2024-03-13,5
AL HEBIAH FIFTH,3,2024-03-20,2
AL HEBIAH FIFTH,4,2024-03-27,6
AL HEBIAH FIFTH,5,2024-04-03,1
AL HEBIAH FIFTH,6,2024-04-10,4
AL HEBIAH FIFTH,7,2024-04-17,0
AL HEBIAH FIFTH,8,2024-04-24,0
AL HEBIAH FIFTH,9,2024-05-01,0
